seed,episode,train_reward,train_oom,validation_reward,validation_oom
1,1,-84.11382875074968,0,46.206631367209454,0
1,2,-126.26767964298085,0,46.206631367209454,0
1,3,-196.39014191837126,0,46.206631367209454,0
1,4,-208.34659191225282,0,53.80663136720939,0
1,5,-197.8637513324864,0,55.7066313672094,0
1,6,-97.4624476042757,0,55.74321099174888,0
1,7,-246.99230167864314,0,54.10033972001371,0
1,8,-186.08575280744884,0,62.167270196583004,0
1,9,-45.584604097095095,0,64.26542727857121,0
1,10,-172.53333702922305,0,66.16542727857124,0
1,11,-138.85184365844196,0,73.76542727857122,0
1,12,50.09109764226196,0,77.56542727857124,0
1,13,-85.02517890354866,0,75.51542727857122,0
1,14,-61.72384232675068,0,87.16542727857126,0
1,15,-78.93043506439884,0,97.31542727857126,0
1,16,-203.0737349861066,0,107.41542727857123,0
1,17,-212.82929964616403,0,117.66542727857123,0
1,18,-13.845820921314818,0,99.5154272785712,0
1,19,-59.16354641058064,0,93.36542727857125,0
1,20,-110.7476810769117,0,87.36542727857125,0
1,21,-62.21532832839388,0,75.30085969155687,0
1,22,31.738329150499844,0,83.43546787213253,0
1,23,-31.12475106709187,0,93.33204539275735,0
1,24,-13.42889784914022,0,97.29376409020844,0
1,25,-163.25140314668437,0,196.24376409020738,0
1,26,4.342111285927494,0,274.7937640902067,0
1,27,-69.6675192574677,0,396.3437640902079,0
1,28,-38.25412262394498,0,478.26728820186605,0
1,29,-78.9282072800841,0,492.1567605765793,0
1,30,-233.61236938397235,0,490.0042202169432,0
1,31,-74.95645315219608,0,487.5027744496396,0
1,32,-61.63923865690418,0,497.3129917238297,0
1,33,-107.91686072586135,0,496.71380212622836,0
1,34,-218.39559496948664,0,498.06453810380225,0
1,35,-113.02016756928262,0,500.06453810380225,0
1,36,-254.80809012184267,0,502.14734120116776,0
1,37,-185.18223909058617,0,506.31404808499553,0
1,38,50.10276122554961,0,394.16390499761104,0
1,39,-29.38748678565655,0,352.63579264438414,0
1,40,-85.75969952271579,0,352.68600135657306,0
1,41,-133.07665432474892,0,334.92106961486064,0
1,42,145.61790222456887,0,172.9710696148606,0
1,43,-133.19459658235704,0,172.9710696148606,0
1,44,-185.80646607277367,0,132.97106961486085,0
1,45,-35.50378813572959,0,132.99340300403682,0
1,46,-35.10609564431525,0,133.66776697114867,0
1,47,-101.02853152690435,0,133.84677957185463,0
1,48,-186.65240521941843,0,133.9640936562508,0
1,49,-183.7487816451747,0,133.8416333916018,0
1,50,-58.662917911892826,0,133.67666923780652,0
1,51,-173.8192794209924,0,133.62132468155647,0
1,52,-188.05869345740956,0,133.68702813234268,0
1,53,-63.37065316431215,0,133.80495988481502,0
1,54,28.562325453144513,0,133.6046528818335,0
1,55,42.37645267496079,0,133.50274770913936,0
1,56,2.550419354423987,0,133.74616844683635,0
1,57,-40.42452962651034,0,173.9919333519338,0
1,58,53.34871751844538,0,395.8929347608422,0
1,59,-170.93925568174603,0,508.42343802510106,0
1,60,14.532189277690918,0,508.5866561984965,0
1,61,-93.6747963474416,0,508.6403049499197,0
1,62,21.073441273739835,0,508.7437682816104,0
1,63,81.4014460437702,0,508.5866561984965,0
1,64,-192.6084233708728,0,508.90240387034623,0
1,65,-94.06995027233886,0,508.90240387034623,0
1,66,91.6862462624397,0,508.90240387034623,0
1,67,-55.4737005579003,0,508.90240387034623,0
1,68,-130.2460280451435,0,509.2080312787686,0
1,69,-64.96526577757498,0,509.2080312787686,0
