action,device_ms,server_ms,feature_bytes,memory_mb
0,0.6093168238715665,84.15138317573444,8388608,146.595703125
1,9.694071122443018,75.06662887716298,33554432,347.6396484375
2,16.994160021451233,67.76653997815477,33554432,443.1630859375
3,24.28827190770923,60.472428091896774,33554432,539.4365234375
4,31.862820889257765,52.89787911034824,16777216,597.3955078125
5,35.74300402732446,49.017695972281544,16777216,631.7197265625
6,38.87191653595466,45.88878346365134,16777216,680.7939453125
7,43.37631080321999,41.38438919638602,16777216,729.8681640625
8,49.16764042411932,35.593059575486684,8388608,789.65380859375
9,52.19436547789103,32.56633452171497,8388608,798.17724609375
10,55.19438682085946,29.566313178746547,8388608,817.70068359375
11,64.08773244211284,20.672967557493166,8388608,846.47412109375
12,66.9940498188411,17.7666501807649,8388608,874.99755859375
13,66.9940498188411,17.7666501807649,8388608,904.52099609375
14,72.27526157487364,12.485438424732365,4194304,960.59912109375
15,77.48123058982952,7.279469409776482,4194304,999.64599609375
16,83.06548599961388,1.69521399999212,4194304,1035.44287109375
17,83.06548599961388,1.69521399999212,262144,1035.44287109375
