method,seed,epoch,successful_updates,test_accuracy,elapsed_system_s
Memory-Constrained Search,1,34,53142,60.23,187769.85101136248
Memory-Constrained Search,1,35,54705,71.19,192465.57433811628
Memory-Constrained Search,1,36,56268,70.55,197423.11032289497
Memory-Constrained Search,1,37,57831,75.47,203223.37590961347
Memory-Constrained Search,1,38,59394,67.72,208975.79340306664
Memory-Constrained Search,1,39,60957,73.67,213520.4957928881
Memory-Constrained Search,1,40,62520,73.96,218638.60063156963
Memory-Constrained Search,1,41,64083,74.42,222990.91083268504
Memory-Constrained Search,1,42,65646,74.49,229081.75059424312
Memory-Constrained Search,1,43,67209,65.15,235509.20421374793
Memory-Constrained Search,1,44,68772,73.68,240463.24584819106
Memory-Constrained Search,1,45,70335,70.67,247068.72751044988
Memory-Constrained Search,1,46,71898,72.82,251697.84148766004
Memory-Constrained Search,1,47,73461,75.17,256579.04231379306
Memory-Constrained Search,1,48,75024,76.51,263300.5990010635
Memory-Constrained Search,1,49,76587,77.46,268811.3974097224
Memory-Constrained Search,1,50,78150,79.24,274962.8947083198
Memory-Constrained Search,1,51,79713,77.28,280354.2399720716
Memory-Constrained Search,1,52,81276,80.79,285473.57849154953
Memory-Constrained Search,1,53,82839,79.54,291420.57380660943
Memory-Constrained Search,1,54,84402,74.24,296670.4862414147
Memory-Constrained Search,1,55,85965,76.9,300840.68293587584
Memory-Constrained Search,1,56,87528,81.68,305416.0321470143
Memory-Constrained Search,1,57,89091,80.37,310836.1490157818
Memory-Constrained Search,1,58,90654,79.88,316205.3188490601
Memory-Constrained Search,1,59,92217,78.75,322011.7135023335
Memory-Constrained Search,1,60,93780,76.94,327364.3099361148
Memory-Constrained Search,1,61,95343,81.15,332646.8808795632
Memory-Constrained Search,1,62,96906,79.31,337532.71953484113
Memory-Constrained Search,1,63,98469,83.43,342805.2137823103
Memory-Constrained Search,1,64,100032,79.23,347711.3116303412
Memory-Constrained Search,1,65,101595,79.59,353278.05191040155
Memory-Constrained Search,1,66,103158,84.83,357975.9924970431
Memory-Constrained Search,1,67,104721,82.63,364179.331068716
Memory-Constrained Search,1,68,106284,84.59,370465.6050858875
Memory-Constrained Search,1,69,107847,81.73,375247.84033336665
Memory-Constrained Search,1,70,109410,84.2,380338.2256577061
Memory-Constrained Search,1,71,110973,85.93,385060.48196572537
Memory-Constrained Search,1,72,112536,84.89,390481.42691375455
Memory-Constrained Search,1,73,114099,86.11,394802.2365132285
Memory-Constrained Search,1,74,115662,84.35,399149.70429472695
Memory-Constrained Search,1,75,117225,83.83,404850.782770151
Memory-Constrained Search,1,76,118788,87.9,409749.1695301998
Memory-Constrained Search,1,77,120351,87.21,415296.37726558215
Memory-Constrained Search,1,78,121914,87.23,421089.649269034
Memory-Constrained Search,1,79,123477,88.82,427296.92936877493
Memory-Constrained Search,1,80,125040,90.14,432827.2533895817
PPO,1,1,1563,10.13,5727.037336607462
PPO,1,2,3126,29.08,11356.63647425153
PPO,1,3,4689,32.24,17793.46624240415
PPO,1,4,6252,50.2,25024.979521377187
PPO,1,5,7815,51.43,30563.05401686846
PPO,1,6,9378,47.2,35901.7060965452
PPO,1,7,10941,54.79,42492.345590011755
PPO,1,8,12504,60.57,46531.87019585166
PPO,1,9,14067,55.62,51879.380216946294
PPO,1,10,15630,63.39,57362.96387856874
PPO,1,11,17193,65.34,63653.83346959353
PPO,1,12,18756,64.41,69035.90023945498
PPO,1,13,20319,60.74,75371.09157947845
PPO,1,14,21882,67.89,81649.4697373483
PPO,1,15,23445,66.52,86646.04462664101
PPO,1,16,25008,65.86,92841.12161127866
PPO,1,17,26571,70.07,99278.65687077878
PPO,1,18,28134,62.93,104567.13740380973
PPO,1,19,29697,63.67,108970.83101720284
PPO,1,20,31260,71.52,114119.3974720485
PPO,1,21,32823,74.75,119778.37770611951
PPO,1,22,34386,68.44,125801.67013346085
PPO,1,23,35949,63.34,130692.71062957718
PPO,1,24,37512,71.73,136071.66119151656
PPO,1,25,39075,72.41,140817.49394357976
PPO,1,26,40638,69.88,145566.4659737476
PPO,1,27,42201,69.42,150420.2332444626
PPO,1,28,43764,73.21,155672.52856895284
PPO,1,29,45327,67.5,160118.36320952003
PPO,1,30,46890,66.43,165694.79014014147
PPO,1,31,48453,72.8,171313.53116963725
PPO,1,32,50016,76.38,176574.36382719554
PPO,1,33,51579,69.54,182690.10383156524
PPO,1,34,53142,60.23,187767.68129657512
PPO,1,35,54705,71.19,192462.96398163048
PPO,1,36,56268,70.55,197420.0362626479
PPO,1,37,57831,75.47,203220.0010150408
PPO,1,38,59394,67.72,208972.09627219226
PPO,1,39,60957,73.67,213516.76781215527
PPO,1,40,62520,73.96,218634.6673442579
PPO,1,41,64083,74.42,222986.81870176844
PPO,1,42,65646,74.49,229077.8222596272
PPO,1,43,67209,65.15,235505.4220545337
PPO,1,44,68772,73.68,240459.67823005668
PPO,1,45,70335,70.67,247065.0948762165
PPO,1,46,71898,72.82,251694.23959157223
PPO,1,47,73461,75.17,256575.4858486139
PPO,1,48,75024,76.51,263297.1462896474
PPO,1,49,76587,77.46,268808.1244583331
PPO,1,50,78150,79.24,274959.41143620765
PPO,1,51,79713,77.28,280350.0755077351
PPO,1,52,81276,80.79,285469.25729724567
PPO,1,53,82839,79.54,291415.5926445146
PPO,1,54,84402,74.24,296665.16822439333
PPO,1,55,85965,76.9,300834.97811875923
PPO,1,56,87528,81.68,305410.3815889938
PPO,1,57,89091,80.37,310830.5836604556
PPO,1,58,90654,79.88,316199.4616003046
PPO,1,59,92217,78.75,322005.3273782092
PPO,1,60,93780,76.94,327358.5889436643
PPO,1,61,95343,81.15,332640.68223689205
PPO,1,62,96906,79.31,337525.87651964964
PPO,1,63,98469,83.43,342798.2765206381
PPO,1,64,100032,79.23,347704.39759694476
PPO,1,65,101595,79.59,353270.8873227757
PPO,1,66,103158,84.83,357968.54749379965
PPO,1,67,104721,82.63,364171.77487255103
PPO,1,68,106284,84.59,370457.6540537775
PPO,1,69,107847,81.73,375239.91171627765
PPO,1,70,109410,84.2,380329.50263254944
PPO,1,71,110973,85.93,385051.4167989356
PPO,1,72,112536,84.89,390472.1617754477
PPO,1,73,114099,86.11,394792.57423673704
PPO,1,74,115662,84.35,399139.81581552065
PPO,1,75,117225,83.83,404840.90675477457
PPO,1,76,118788,87.9,409739.22410605184
PPO,1,77,120351,87.21,415286.2568206031
