method,seed,epoch,successful_updates,test_accuracy,elapsed_system_s
Delay-only Search,3,29,45327,64.57,210649.13357211868
Delay-only Search,3,30,46890,72.53,216613.90129578448
Delay-only Search,3,31,48453,72.8,222985.13771644875
Delay-only Search,3,32,50016,71.92,231345.58041532157
Delay-only Search,3,33,51579,74.51,238867.6606919465
Delay-only Search,3,34,53142,70.42,245525.93209969887
Delay-only Search,3,35,54705,73.6,253068.53504988167
Delay-only Search,3,36,56268,62.21,260373.30036162533
Delay-only Search,3,37,57831,65.59,267465.103933665
Delay-only Search,3,38,59394,69.54,275756.1283744859
Delay-only Search,3,39,60957,75.27,282471.6759633387
Delay-only Search,3,40,62520,72.75,288622.834852105
Delay-only Search,3,41,64083,75.06,296490.91825535666
Delay-only Search,3,42,65646,73.93,302144.8709665228
Delay-only Search,3,43,67209,70.97,308863.93707892013
Delay-only Search,3,44,68772,74.91,315092.6953608066
Delay-only Search,3,45,70335,75.41,319628.6746444417
Delay-only Search,3,46,71898,76.22,327555.19189360837
Delay-only Search,3,47,73461,78.25,334457.4827193378
Delay-only Search,3,48,75024,73.74,340924.7319790484
Delay-only Search,3,49,76587,74.26,348447.12758670957
Delay-only Search,3,50,78150,67.7,357033.4609176158
Delay-only Search,3,51,79713,76.09,363945.62814727006
Delay-only Search,3,52,81276,75.74,371576.83242039254
Delay-only Search,3,53,82839,75.74,379505.78653411625
Delay-only Search,3,54,84402,77.31,384703.75804381043
Delay-only Search,3,55,85965,80.5,393597.927952492
Delay-only Search,3,56,87528,78.74,401592.4504146769
Delay-only Search,3,57,89091,77.68,409380.6567762361
Delay-only Search,3,58,90654,74.95,416748.7853231492
Delay-only Search,3,59,92217,78.09,424842.80440292764
Delay-only Search,3,60,93780,79.59,430764.70858120464
Delay-only Search,3,61,95343,79.74,437569.58737723314
Delay-only Search,3,62,96906,83.7,443316.15779385116
Delay-only Search,3,63,98469,84.28,452141.1764917337
Delay-only Search,3,64,100032,81.98,461322.6862822355
Delay-only Search,3,65,101595,83.16,467163.1310794676
Delay-only Search,3,66,103158,83.74,475083.70574418514
Delay-only Search,3,67,104721,82.88,481268.3911047056
Delay-only Search,3,68,106284,83.27,488619.85569092375
Delay-only Search,3,69,107847,85.46,496521.9473612312
Delay-only Search,3,70,109410,82.07,504835.7662553144
Delay-only Search,3,71,110973,84.8,512286.47669070045
Delay-only Search,3,72,112536,85.25,519519.5448256323
Delay-only Search,3,73,114099,83.48,526004.4089819306
Delay-only Search,3,74,115662,84.97,532363.2036651386
Delay-only Search,3,75,117225,87.24,539448.1107633889
Delay-only Search,3,76,118788,86.44,546150.4903409622
Delay-only Search,3,77,120351,87.91,552923.5810923929
Delay-only Search,3,78,121914,86.03,560687.1910911639
Delay-only Search,3,79,123477,87.47,567349.2210582793
Delay-only Search,3,80,125040,88.61,574439.5160040006
Delay-only Search,3,81,126603,88.91,581461.2491279247
Delay-only Search,3,82,128166,89.36,589755.452522901
Delay-only Search,3,83,129729,89.93,597122.1581501852
Delay-only Search,3,84,131292,89.82,603990.7004354905
Delay-only Search,3,85,132855,90.24,610545.5254410004
Memory-Constrained Search,3,1,1563,31.25,5199.537589849653
Memory-Constrained Search,3,2,3126,36.16,10765.41810417399
Memory-Constrained Search,3,3,4689,48.16,15416.341872901801
Memory-Constrained Search,3,4,6252,49.68,20395.52383380229
Memory-Constrained Search,3,5,7815,57.69,26316.39917802388
Memory-Constrained Search,3,6,9378,67.17,32360.731638827885
Memory-Constrained Search,3,7,10941,62.41,36709.18440773917
Memory-Constrained Search,3,8,12504,66.97,42207.10574778768
Memory-Constrained Search,3,9,14067,55.84,48215.28309558885
Memory-Constrained Search,3,10,15630,66.79,53854.91699875007
Memory-Constrained Search,3,11,17193,56.94,59408.9118329895
Memory-Constrained Search,3,12,18756,67.84,64093.31800736848
Memory-Constrained Search,3,13,20319,64.02,69019.79921050259
Memory-Constrained Search,3,14,21882,69.9,74477.80668352822
Memory-Constrained Search,3,15,23445,64.09,79309.69728390643
Memory-Constrained Search,3,16,25008,67.32,85300.508442724
Memory-Constrained Search,3,17,26571,65.93,89944.21031984617
Memory-Constrained Search,3,18,28134,69.84,96044.11758014606
Memory-Constrained Search,3,19,29697,65.25,101126.81396537149
Memory-Constrained Search,3,20,31260,69.91,107018.14184481378
Memory-Constrained Search,3,21,32823,67.51,113007.6289184001
Memory-Constrained Search,3,22,34386,72.57,119498.90329182256
Memory-Constrained Search,3,23,35949,69.67,125206.98621224212
Memory-Constrained Search,3,24,37512,60.09,129355.82210437096
Memory-Constrained Search,3,25,39075,70.76,136604.107896016
Memory-Constrained Search,3,26,40638,73.17,142332.3932306198
Memory-Constrained Search,3,27,42201,66.65,147873.36218541607
Memory-Constrained Search,3,28,43764,64.09,153738.26318925418
Memory-Constrained Search,3,29,45327,64.57,160099.34452027356
Memory-Constrained Search,3,30,46890,72.53,164469.87483119522
Memory-Constrained Search,3,31,48453,72.8,169186.99971579664
Memory-Constrained Search,3,32,50016,71.92,175589.28022871682
Memory-Constrained Search,3,33,51579,74.51,181413.4233575349
Memory-Constrained Search,3,34,53142,70.42,186519.57769516492
Memory-Constrained Search,3,35,54705,73.6,192126.25164186914
Memory-Constrained Search,3,36,56268,62.21,197728.86095542042
Memory-Constrained Search,3,37,57831,65.59,203031.49890846948
Memory-Constrained Search,3,38,59394,69.54,209275.70417034713
Memory-Constrained Search,3,39,60957,75.27,214465.03663441163
Memory-Constrained Search,3,40,62520,72.75,219013.89074792556
Memory-Constrained Search,3,41,64083,75.06,224976.0714819146
Memory-Constrained Search,3,42,65646,73.93,229123.47514126124
Memory-Constrained Search,3,43,67209,70.97,233816.95237741256
Memory-Constrained Search,3,44,68772,74.91,238374.44123405885
Memory-Constrained Search,3,45,70335,75.41,241695.13858993017
Memory-Constrained Search,3,46,71898,76.22,247667.92368143916
Memory-Constrained Search,3,47,73461,78.25,253039.7796243844
Memory-Constrained Search,3,48,75024,73.74,257942.54187086914
Memory-Constrained Search,3,49,76587,74.26,263787.4450128829
Memory-Constrained Search,3,50,78150,67.7,270476.75107338285
Memory-Constrained Search,3,51,79713,76.09,275715.3033216471
Memory-Constrained Search,3,52,81276,75.74,281371.7028444056
Memory-Constrained Search,3,53,82839,75.74,287360.7648061656
Memory-Constrained Search,3,54,84402,77.31,291276.2727889064
Memory-Constrained Search,3,55,85965,80.5,298193.8144298576
Memory-Constrained Search,3,56,87528,78.74,304349.0953726795
Memory-Constrained Search,3,57,89091,77.68,310238.27307128964
Memory-Constrained Search,3,58,90654,74.95,315815.4290196504
Memory-Constrained Search,3,59,92217,78.09,321989.13170468656
Memory-Constrained Search,3,60,93780,79.59,326264.35197791364
Memory-Constrained Search,3,61,95343,79.74,331401.67220970336
Memory-Constrained Search,3,62,96906,83.7,335545.0748142951
Memory-Constrained Search,3,63,98469,84.28,342467.6286116328
Memory-Constrained Search,3,64,100032,81.98,349666.40731506364
Memory-Constrained Search,3,65,101595,83.16,353815.0931274123
Memory-Constrained Search,3,66,103158,83.74,359754.1114809779
Memory-Constrained Search,3,67,104721,82.88,364312.5473199382
Memory-Constrained Search,3,68,106284,83.27,369825.63591025386
Memory-Constrained Search,3,69,107847,85.46,375912.52977802424
Memory-Constrained Search,3,70,109410,82.07,382258.2363000271
Memory-Constrained Search,3,71,110973,84.8,387814.50302276626
Memory-Constrained Search,3,72,112536,85.25,393318.99217808305
Memory-Constrained Search,3,73,114099,83.48,398095.71112944296
Memory-Constrained Search,3,74,115662,84.97,402735.8046197264
Memory-Constrained Search,3,75,117225,87.24,408143.8422459548
Memory-Constrained Search,3,76,118788,86.44,412984.0458295558
Memory-Constrained Search,3,77,120351,87.91,418076.76972191955
Memory-Constrained Search,3,78,121914,86.03,423916.3909575543
Memory-Constrained Search,3,79,123477,87.47,428793.2849719281
Memory-Constrained Search,3,80,125040,88.61,434182.9983643505
Memory-Constrained Search,3,81,126603,88.91,439315.0276697577
Memory-Constrained Search,3,82,128166,89.36,445798.6078613906
Memory-Constrained Search,3,83,129729,89.93,451416.1375006194
Memory-Constrained Search,3,84,131292,89.82,456684.5719511011
Memory-Constrained Search,3,85,132855,90.24,461677.18687740254
PPO,3,1,1563,31.25,5230.486141117768
PPO,3,2,3126,36.16,10839.480452087053
PPO,3,3,4689,48.16,15545.023759802243
PPO,3,4,6252,49.68,20597.65256625683
PPO,3,5,7815,57.69,26518.33005220002
PPO,3,6,9378,67.17,32562.595568736513
PPO,3,7,10941,62.41,36911.086446341804
PPO,3,8,12504,66.97,42442.677028413935
PPO,3,9,14067,55.84,48450.48409251611
PPO,3,10,15630,66.79,54187.30380607086
PPO,3,11,17193,56.94,59741.612565133364
PPO,3,12,18756,67.84,64459.00949963101
PPO,3,13,20319,64.02,69385.36839181636
PPO,3,14,21882,69.9,74898.38403406876
PPO,3,15,23445,64.09,79763.38128316108
PPO,3,16,25008,67.32,85776.10625200822
PPO,3,17,26571,65.93,90419.14486580169
PPO,3,18,28134,69.84,96573.64797590295
PPO,3,19,29697,65.25,101785.76878444171
PPO,3,20,31260,69.91,107720.73281210967
PPO,3,21,32823,67.51,113733.14119353845
PPO,3,22,34386,72.57,120223.86281232645
PPO,3,23,35949,69.67,125931.4910648626
PPO,3,24,37512,60.09,130080.28345528999
PPO,3,25,39075,70.76,137328.70297938798
PPO,3,26,40638,73.17,143056.6935953191
PPO,3,27,42201,66.65,148682.4649380095
PPO,3,28,43764,64.09,154600.9668419869
PPO,3,29,45327,64.57,160961.5200700026
PPO,3,30,46890,72.53,165459.0715751024
PPO,3,31,48453,72.8,170175.56115968613
PPO,3,32,50016,71.92,176598.33734654044
PPO,3,33,51579,74.51,182422.2188317471
PPO,3,34,53142,70.42,187581.5074154487
PPO,3,35,54705,73.6,193264.42773804138
PPO,3,36,56268,62.21,198900.2245116465
PPO,3,37,57831,65.59,204289.82683769191
PPO,3,38,59394,69.54,210598.5009420642
PPO,3,39,60957,75.27,215820.48204524405
PPO,3,40,62520,72.75,220463.90330753694
PPO,3,41,64083,75.06,226426.57639861002
PPO,3,42,65646,73.93,230585.51709516082
PPO,3,43,67209,70.97,235278.76934916893
PPO,3,44,68772,74.91,239846.02359967545
PPO,3,45,70335,75.41,243251.78361688502
PPO,3,46,71898,76.22,249224.1130080566
PPO,3,47,73461,78.25,254715.7195875076
PPO,3,48,75024,73.74,259742.92935168665
PPO,3,49,76587,74.26,265844.70474004216
PPO,3,50,78150,67.7,272609.84736842493
PPO,3,51,79713,76.09,277847.7941361207
PPO,3,52,81276,75.74,283547.896933058
PPO,3,53,82839,75.74,289577.724256364
PPO,3,54,84402,77.31,293588.5679010454
PPO,3,55,85965,80.5,300613.4294852487
PPO,3,56,87528,78.74,306792.355826533
PPO,3,57,89091,77.68,312680.6865635316
PPO,3,58,90654,74.95,318269.068581864
PPO,3,59,92217,78.09,324442.6401748255
PPO,3,60,93780,79.59,328837.84941616416
PPO,3,61,95343,79.74,334094.4779574718
PPO,3,62,96906,83.7,338237.6350737377
PPO,3,63,98469,84.28,345160.15594757453
PPO,3,64,100032,81.98,352390.91020445444
PPO,3,65,101595,83.16,356550.9691560262
PPO,3,66,103158,83.74,362489.63584625674
PPO,3,67,104721,82.88,367048.1261962117
PPO,3,68,106284,83.27,372560.78298271686
PPO,3,69,107847,85.46,378669.5815879347
PPO,3,70,109410,82.07,385015.1999330207
PPO,3,71,110973,84.8,390571.4749908932
PPO,3,72,112536,85.25,396075.6090614585
PPO,3,73,114099,83.48,400896.5346757962
PPO,3,74,115662,84.97,405536.4483468007
PPO,3,75,117225,87.24,411034.5725098142
PPO,3,76,118788,86.44,415874.3700213419
PPO,3,77,120351,87.91,420966.74222786096
PPO,3,78,121914,86.03,426806.0113565107
PPO,3,79,123477,87.47,431682.73485892976
PPO,3,80,125040,88.61,437071.84095356305
PPO,3,81,126603,88.91,442203.4530323967
PPO,3,82,128166,89.36,448686.6446013044
PPO,3,83,129729,89.93,454357.8539363585
PPO,3,84,131292,89.82,459725.13119807135
PPO,3,85,132855,90.24,464762.22073832195
